glacier_name,date_yyyymmdd,collectors,funding_source
Scott Turnerbreen,20240207,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Slakbreen,20220330,"Erik Schytt Mannerfelt; Andreas Alexander","UNIS AG-325 Glaciology course"
Slakbreen,20230320,"Ursula Enzenhofer","UNIS AG-346 Snow and Avalanches course"
Slakbreen,20240310,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-335 course"
Rugaasfonna,20220218,"Solveig Solem; Andrew Hodson","CLIMAGAS (NFR 294764)"
Rugaasfonna,20220222,"Solveig Solem; Andrew Hodson","CLIMAGAS (NFR 294764)"
Svellnosbreen,20220218,"Solveig Solem; Andrew Hodson","CLIMAGAS (NFR 294764)"
Møysalbreen,20220222,"Solveig Solem; Andrew Hodson","CLIMAGAS (NFR 294764)"
Vallåkrabreen,20210513,"Andrew Hodson; Wilson Cheung","CLIMAGAS (NFR 294764)"
Vallåkrabreen,20220419,"Erik Schytt Mannerfelt; Solveig Solem","CLIMAGAS (NFR 294764)"
Vallåkrabreen,20220505,"Erik Schytt Mannerfelt; Andrew Hodson; Joseph Buckby; Audun Tholfsen","CLIMAGAS (NFR 294764)"
Bergmesterbreen,20230222,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20190225,"Mette Kusk Gillespie; Hëidi Sevestre","UNIS AG-325 Glaciology course"
Drønbreen,20200224,"Mette Kusk Gillespie; Hëidi Sevestre","UNIS AG-325 Glaciology course"
Drønbreen,20200225,"Mette Kusk Gillespie; Hëidi Sevestre","UNIS AG-325 Glaciology course"
Drønbreen,20200226,"Mette Kusk Gillespie; Hëidi Sevestre","UNIS AG-325 Glaciology course"
Drønbreen,20220328,"Erik Schytt Mannerfelt; Andreas Alexander","UNIS AG-325 Glaciology course"
Drønbreen,20220329,"Erik Schytt Mannerfelt; Andreas Alexander","UNIS AG-325 Glaciology course"
Drønbreen,20230220,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20230221,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20240209,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20250325,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20250326,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Drønbreen,20250327,"Erik Schytt Mannerfelt; Ursula Enzenhofer","UNIS AG-325 Glaciology course"
Fimbulisen,20220430,"Erik Schytt Mannerfelt; Andrew Hodson","GLACIGAS (NFR 343293)"
Kroppbreen,20230228,"Erik Schytt Mannerfelt; Ursula Enzenhofer; Gabrielle Kleber","HYDRO-SURGE (NFR 329174)"
Kroppbreen,20240407,"Erik Schytt Mannerfelt; Ursula Enzenhofer; Jonathan Kolar","Arctic Field Grant (NFR 350271)"
Mettebreen,20230305,"Ursula Enzenhofer; Andrew Hodson","HYDRO-SURGE (NFR 329174)"
Ragna-Mariebreen,20230305,"Ursula Enzenhofer; Andrew Hodson","HYDRO-SURGE (NFR 329174)"
Edvardbreen,20230305,"Ursula Enzenhofer; Andrew Hodson","HYDRO-SURGE (NFR 329174)"
Filantropbreen,20240406,"Erik Schytt Mannerfelt; Ursula Enzenhofer; Jonathan Kolar","Arctic Field Grant (NFR 350271)"
Ragna-Mariebreen,20240317,"Ursula Enzenhofer; Erik Schytt Mannerfelt; Jonathan Kolar","Arctic Field Grant (NFR 350454)"
Ragna-Mariebreen,20240405,"Erik Schytt Mannerfelt; Ursula Enzenhofer","Arctic Field Grant (NFR 350271)"
Ragna-Mariebreen,20240412,"Ursula Enzenhofer; Erik Schytt Mannerfelt; Jonathan Kolar","Arctic Field Grant (NFR 350454)"
Edvardbreen,20240407,"Erik Schytt Mannerfelt; Ursula Enzenhofer; Jonathan Kolar","Arctic Field Grant (NFR 350271)"
Edvardbreen,20240411,"Ursula Enzenhofer; Erik Schytt Mannerfelt; Jonathan Kolar","Arctic Field Grant (NFR 350454)"
Von Postbreen,20250402,"Ursula Enzenhofer; Alexander Maschler","Arctic Field Grant (NFR 350454)"
Rabotbreen,20250402,"Ursula Enzenhofer; Alexander Maschler","Arctic Field Grant (NFR 350454)"
Lofthusbreen,20250326,"Ursula Enzenhofer; Erik Schytt Mannerfelt","UNIS AG-325 Glaciology course"
Finsterwalderbreen,20250407,"Ursula Enzenhofer; Satu Innanen; Gabrielle Kleber","Arctic Field Grant (NFR 350271)"
Elfenbeinbreen,20250326,"Jogscha Abderhalden; Andrew Hodson; Susan Kaspari","Svalbard Strategic Grant (PI: Susan Kaspari)"
Amenfonna,20240510,"Erik Schytt Mannerfelt","Austfonna mass balance programme (NPI/UiO); ESA St3TART"
Winsnesbreen,20240503,"Erik Schytt Mannerfelt; Geir Moholdt","Austfonna mass balance programme (NPI/UiO); ESA St3TART"
Etonbreen,20240503,"Erik Schytt Mannerfelt; Geir Moholdt","Austfonna mass balance programme (NPI/UiO); ESA St3TART"
Austfonna,20240507,"Erik Schytt Mannerfelt; Geir Moholdt","Austfonna mass balance programme (NPI/UiO); ESA St3TART"
Etonbreen,20250506,"Satu Innanen; Geir Moholdt","Austfonna mass balance programme (NPI/UiO); ESA St3TART"
Antoniabreen,20250406,"Ursula Enzenhofer; Satu Innanen; Gabrielle Kleber","Arctic Field Grant (NFR 350271)"
